duerme	descansa
descansa	se posa
corre	se mueve
se mueve	nada
entra en	llega a
llega a	entra en
cae	desciende
desciende	cae
guarda	almacena
conserva	guarda
vuela sobre	sobrevuela
sobrevuela	vuela sobre
abre	desbloquea
desbloquea	abre
atraviesa	cruza
cruza	atraviesa
esta	permanece
permanece	sigue
se posa	descansa
humea	desprende humo
desprende humo	humea
carga	recarga
recarga	carga
ilumina	da luz a
da luz a	ilumina
circula	va
va	circula
nada	se mueve
toma	escribe
escribe	anota
atiende	cuida
cuida	atiende
prepara	cocina
cocina	prepara
sigue	rastrea
cubre	tapiza
tapiza	cubre
suena	resuena
resuena	suena
anota	escribe
compra	adquiere
adquiere	compra
riega	moja
moja	riega
calienta	templa
templa	calienta
llega	arriba
arriba	llega
marca	indica
indica	marca
muestra	ensena
ensena	muestra
observa	vigila
vigila	observa
analiza	examina
examina	analiza
sincroniza	coordina
coordina	sincroniza
almacena	guarda
procesa	maneja
maneja	procesa
encuentra	localiza
localiza	encuentra
rastrea	sigue
protege	resguarda
resguarda	protege
