duerme	descansa
descansa	posa
corre	mueve
mueve	nada
entra	llega
llega	arriba
cae	desciende
desciende	cae
guarda	almacena
conserva	guarda
vuela	sobrevuela
sobrevuela	vuela
abre	desbloquea
desbloquea	abre
atraviesa	cruza
cruza	atraviesa
posa	descansa
humea	desprende
desprende	humea
carga	recarga
recarga	carga
nada	mueve
toma	escribe
escribe	anota
atiende	cuida
cuida	atiende
prepara	cocina
cocina	prepara
permanece	sigue
sigue	rastrea
cubre	tapiza
tapiza	cubre
suena	resuena
resuena	suena
anota	escribe
compra	adquiere
adquiere	compra
riega	moja
moja	riega
calienta	templa
templa	calienta
arriba	llega
marca	indica
indica	marca
muestra	ensena
ensena	muestra
observa	vigila
vigila	observa
analiza	examina
examina	analiza
sincroniza	coordina
coordina	sincroniza
almacena	guarda
procesa	maneja
maneja	procesa
encuentra	localiza
localiza	encuentra
rastrea	sigue
protege	resguarda
resguarda	protege
